term,estimate,std.error,statistic,p.value
(Intercept),19.445378949813005,0.12400605153163269,156.8099194324616,1.504915852001972e-85
co2_per_capita,1.4399814503995612,0.2338828020799872,6.156850514845003,5.193123225800182e-8
