year,avg_temp_c,co2_per_capita
1950,18.907104166666667,0.14205551
1951,19.880544166666667,0.17303415
1952,20.012620000000002,0.17990753
1953,20.556140833333334,0.1799725
1954,19.9103625,0.17943811
1955,19.904329999999998,0.1812918
1956,19.805875,0.21039192
1957,19.123395833333333,0.2126835
1958,20.5738,0.23344253
1959,20.131860833333334,0.22123612
1960,19.881630833333332,0.2595286
1961,19.753663333333332,0.26241675
1962,19.779220833333333,0.28175586
1963,20.461926666666667,0.3162737
1964,19.45576416666667,0.31727272
1965,19.736968333333333,0.32463467
1966,19.835458333333335,0.321916
1967,19.678001666666667,0.33271044
1968,19.5389375,0.37134764
1969,20.30193,0.35046
1970,20.421614166666668,0.3458274
1971,20.1752675,0.31933463
1972,19.34572916666667,0.3024025
1973,20.05651,0.31124339
1974,19.670916666666667,0.32332072
1975,19.415618333333335,0.3403621
1976,19.698890833333333,0.3244799
1977,20.5280825,0.3356729
1978,20.0684175,0.34831917
1979,19.885080833333333,0.36345977
1980,20.38988416666667,0.39605486
1981,20.206408333333332,0.406227
1982,19.5101975,0.423436
1983,19.611718333333332,0.4394162
1984,19.920436666666667,0.45271885
1985,20.2429075,0.48200983
1986,19.578992500000002,0.48757046
1987,20.42715,0.50827765
1988,20.858066666666666,0.5335605
1989,19.541076666666665,0.5401308
1990,20.35334166666667,0.58768713
1991,19.842869166666667,0.5660661
1992,19.705821666666665,0.58847654
1993,20.407645,0.6147176
1994,20.111693333333335,0.6500693
1995,19.943789166666665,0.6281246
1996,19.8598875,0.6815979
1997,19.444739166666665,0.66360986
1998,20.465836666666668,0.66499394
1999,20.8558725,0.66394794
2000,20.692855833333333,0.6733146
2001,20.780218333333334,0.6619909
2002,20.806960833333335,0.69154686
2003,20.334099166666668,0.7040588
2004,21.051189166666667,0.7595932
2005,20.1510325,0.77244186
2006,20.9946925,0.80614775
2007,20.618028333333335,0.8542126
2008,20.514409166666667,0.82783884
2009,20.910591666666665,0.8174638
2010,20.9999225,0.7914893
2011,20.724895,0.7786947
2012,20.053535833333335,0.7659797
2013,20.652716666666667,0.73792934
2014,20.5278675,0.7516356
2015,20.559059166666668,0.7888963
2016,21.414616666666667,0.9169495
